,Puts,Bid.1,Ask.1,Vol.1,Expiration,Strike
1189,16 Nov 107.00 (AAPL1611W107-A),0.93,0.96,318,334.0,107.0
1190,16 Nov 107.00 (AAPL1611W107-B),0.86,0.95,91,334.0,107.0
1191,16 Nov 107.00 (AAPL1611W107-E),0.92,0.96,785,334.0,107.0
1192,16 Nov 107.00 (AAPL1611W107-I),0.94,0.96,2025,334.0,107.0
1193,16 Nov 107.00 (AAPL1611W107-J),0.91,0.96,32,334.0,107.0
1194,16 Nov 107.00 (AAPL1611W107-K),0.76,0.96,20,334.0,107.0
1195,16 Nov 107.00 (AAPL1611W107-O),0.94,0.96,250,334.0,107.0
1196,16 Nov 107.00 (AAPL1611W107-P),0.93,0.96,436,,
1197,16 Nov 107.00 (AAPL1611W107-S),0.90,0.96,63,334.0,107.0
1198,16 Nov 107.00 (AAPL1611W107-X),0.92,0.96,694,334.0,107.0
1199,16 Nov 107.00 (AAPL1611W107-Y),0.88,0.96,185,334.0,107.0
1200,16 Nov 108.00 (AAPL1611W108),1.19,1.20,3603,334.0,108.0
1201,16 Nov 108.00 (AAPL1611W108-3),1.16,1.20,42,334.0,108.0
1202,16 Nov 108.00 (AAPL1611W108-4),1.17,1.22,182,334.0,108.0
1203,16 Nov 108.00 (AAPL1611W108-8),1.01,1.22,486,334.0,108.0
1204,16 Nov 108.00 (AAPL1611W108-A),1.15,1.22,104,334.0,108.0
1205,16 Nov 108.00 (AAPL1611W108-B),1.10,1.23,74,334.0,108.0
1206,16 Nov 108.00 (AAPL1611W108-E),1.17,1.22,461,334.0,108.0
1207,16 Nov 108.00 (AAPL1611W108-I),1.19,1.20,1501,334.0,108.0
1208,16 Nov 108.00 (AAPL1611W108-J),1.15,1.73,1,,
1210,16 Nov 108.00 (AAPL1611W108-O),1.19,1.21,228,334.0,108.0
1211,16 Nov 108.00 (AAPL1611W108-P),1.18,1.20,207,334.0,108.0
1212,16 Nov 108.00 (AAPL1611W108-S),1.15,1.22,41,,
1213,16 Nov 108.00 (AAPL1611W108-X),1.15,1.22,146,334.0,108.0
1214,16 Nov 108.00 (AAPL1611W108-Y),1.11,1.24,130,,
1215,16 Nov 109.00 (AAPL1611W109),1.51,1.52,2972,334.0,109.0
1216,16 Nov 109.00 (AAPL1611W109-3),1.50,1.59,20,334.0,109.0
1217,16 Nov 109.00 (AAPL1611W109-4),1.48,1.55,142,334.0,109.0
1218,16 Nov 109.00 (AAPL1611W109-8),1.48,1.56,378,334.0,109.0
1219,16 Nov 109.00 (AAPL1611W109-A),1.48,1.55,148,334.0,109.0
1220,16 Nov 109.00 (AAPL1611W109-B),1.48,1.57,58,334.0,109.0
1221,16 Nov 109.00 (AAPL1611W109-E),1.48,1.55,377,334.0,109.0
1222,16 Nov 109.00 (AAPL1611W109-I),1.51,1.52,949,334.0,109.0
1223,16 Nov 109.00 (AAPL1611W109-J),1.48,2.37,1,,
1225,16 Nov 109.00 (AAPL1611W109-O),1.50,1.53,161,334.0,109.0
1226,16 Nov 109.00 (AAPL1611W109-P),1.48,1.56,190,334.0,109.0
1227,16 Nov 109.00 (AAPL1611W109-S),1.48,1.55,67,334.0,109.0
1228,16 Nov 109.00 (AAPL1611W109-X),1.48,1.55,415,334.0,109.0
1229,16 Nov 109.00 (AAPL1611W109-Y),1.41,1.57,66,334.0,109.0
1230,16 Nov 110.00 (AAPL1611W110),1.91,1.93,4282,334.0,110.0
1231,16 Nov 110.00 (AAPL1611W110-3),1.90,1.98,29,334.0,110.0
1232,16 Nov 110.00 (AAPL1611W110-4),1.90,1.96,226,334.0,110.0
1233,16 Nov 110.00 (AAPL1611W110-8),1.89,1.98,235,334.0,110.0
1234,16 Nov 110.00 (AAPL1611W110-A),1.89,1.94,190,334.0,110.0
1235,16 Nov 110.00 (AAPL1611W110-B),0.81,2.00,276,334.0,110.0
1236,16 Nov 110.00 (AAPL1611W110-E),1.90,1.96,610,334.0,110.0
1237,16 Nov 110.00 (AAPL1611W110-I),1.91,1.93,1062,334.0,110.0
1238,16 Nov 110.00 (AAPL1611W110-J),1.90,1.96,24,334.0,110.0
1240,16 Nov 110.00 (AAPL1611W110-O),1.91,1.93,271,334.0,110.0
1241,16 Nov 110.00 (AAPL1611W110-P),1.86,1.96,703,334.0,110.0
1242,16 Nov 110.00 (AAPL1611W110-S),1.12,1.97,210,334.0,110.0
1243,16 Nov 110.00 (AAPL1611W110-X),1.89,1.96,281,334.0,110.0
1244,16 Nov 110.00 (AAPL1611W110-Y),1.91,2.00,165,334.0,110.0
1245,16 Nov 111.00 (AAPL1611W111),2.41,2.43,1837,334.0,111.0
1247,16 Nov 111.00 (AAPL1611W111-4),2.39,2.45,157,334.0,111.0
1248,16 Nov 111.00 (AAPL1611W111-8),2.36,2.49,144,334.0,111.0
1249,16 Nov 111.00 (AAPL1611W111-A),2.38,2.49,88,334.0,111.0
1250,16 Nov 111.00 (AAPL1611W111-B),2.38,2.45,82,334.0,111.0
1251,16 Nov 111.00 (AAPL1611W111-E),2.39,2.45,290,334.0,111.0
1252,16 Nov 111.00 (AAPL1611W111-I),2.41,2.43,419,334.0,111.0
1253,16 Nov 111.00 (AAPL1611W111-J),1.70,2.45,34,334.0,111.0
1255,16 Nov 111.00 (AAPL1611W111-O),2.41,2.43,162,334.0,111.0
1256,16 Nov 111.00 (AAPL1611W111-P),2.37,2.48,191,334.0,111.0
1257,16 Nov 111.00 (AAPL1611W111-S),1.71,2.51,45,334.0,111.0
1258,16 Nov 111.00 (AAPL1611W111-X),2.38,2.48,204,334.0,111.0
1259,16 Nov 111.00 (AAPL1611W111-Y),2.41,2.53,21,334.0,111.0
1260,16 Nov 112.00 (AAPL1611W112),3.00,3.05,403,334.0,112.0
1262,16 Nov 112.00 (AAPL1611W112-4),2.97,3.05,6,334.0,112.0
1263,16 Nov 112.00 (AAPL1611W112-8),2.94,3.10,73,334.0,112.0
1264,16 Nov 112.00 (AAPL1611W112-A),2.98,3.05,9,334.0,112.0
1265,16 Nov 112.00 (AAPL1611W112-B),2.15,3.05,1,334.0,112.0
1266,16 Nov 112.00 (AAPL1611W112-E),2.95,3.05,60,334.0,112.0
1267,16 Nov 112.00 (AAPL1611W112-I),3.00,3.05,148,334.0,112.0
1270,16 Nov 112.00 (AAPL1611W112-O),2.99,3.05,8,334.0,112.0
1271,16 Nov 112.00 (AAPL1611W112-P),2.99,3.05,30,334.0,112.0
1272,16 Nov 112.00 (AAPL1611W112-S),2.96,3.05,33,334.0,112.0
1273,16 Nov 112.00 (AAPL1611W112-X),2.95,3.05,22,334.0,112.0
1274,16 Nov 112.00 (AAPL1611W112-Y),3.00,3.05,13,334.0,112.0
1275,16 Nov 113.00 (AAPL1611W113),3.65,3.80,287,334.0,113.0
1277,16 Nov 113.00 (AAPL1611W113-4),3.65,3.80,7,334.0,113.0
1278,16 Nov 113.00 (AAPL1611W113-8),3.65,3.80,82,334.0,113.0
1279,16 Nov 113.00 (AAPL1611W113-A),3.65,3.80,1,334.0,113.0
1280,16 Nov 113.00 (AAPL1611W113-B),3.65,3.80,1,334.0,113.0
1281,16 Nov 113.00 (AAPL1611W113-E),3.65,3.80,136,334.0,113.0
1282,16 Nov 113.00 (AAPL1611W113-I),3.65,3.80,15,334.0,113.0
1285,16 Nov 113.00 (AAPL1611W113-O),3.65,3.80,13,334.0,113.0
1286,16 Nov 113.00 (AAPL1611W113-P),3.65,3.80,13,334.0,113.0
1288,16 Nov 113.00 (AAPL1611W113-X),3.65,3.80,14,334.0,113.0
1289,16 Nov 113.00 (AAPL1611W113-Y),3.65,3.80,5,334.0,113.0
1290,16 Nov 114.00 (AAPL1611W114),4.40,4.60,187,334.0,114.0
1292,16 Nov 114.00 (AAPL1611W114-4),4.40,4.60,20,334.0,114.0
1293,16 Nov 114.00 (AAPL1611W114-8),4.40,4.60,41,334.0,114.0
1294,16 Nov 114.00 (AAPL1611W114-A),4.40,4.60,10,334.0,114.0
1296,16 Nov 114.00 (AAPL1611W114-E),4.40,4.60,95,334.0,114.0
1297,16 Nov 114.00 (AAPL1611W114-I),4.40,4.60,5,334.0,114.0
1298,16 Nov 114.00 (AAPL1611W114-J),4.40,4.60,10,,
1301,16 Nov 114.00 (AAPL1611W114-P),4.40,4.55,1,334.0,114.0
1303,16 Nov 114.00 (AAPL1611W114-X),4.40,4.60,5,334.0,114.0
1305,16 Nov 115.00 (AAPL1611W115),5.25,5.45,116,334.0,115.0
1307,16 Nov 115.00 (AAPL1611W115-4),5.25,5.45,1,334.0,115.0
1308,16 Nov 115.00 (AAPL1611W115-8),5.25,5.45,12,334.0,115.0
1311,16 Nov 115.00 (AAPL1611W115-E),5.25,5.45,22,334.0,115.0
1312,16 Nov 115.00 (AAPL1611W115-I),5.25,5.45,7,334.0,115.0
1316,16 Nov 115.00 (AAPL1611W115-P),5.25,5.50,1,334.0,115.0
1318,16 Nov 115.00 (AAPL1611W115-X),5.25,5.45,59,334.0,115.0
1319,16 Nov 115.00 (AAPL1611W115-Y),5.25,5.45,14,334.0,115.0
1320,16 Nov 116.00 (AAPL1611W116),6.25,6.40,63,334.0,116.0
1322,16 Nov 116.00 (AAPL1611W116-4),6.25,6.40,7,334.0,116.0
1323,16 Nov 116.00 (AAPL1611W116-8),6.25,6.40,4,334.0,116.0
1326,16 Nov 116.00 (AAPL1611W116-E),6.25,6.40,9,334.0,116.0
1331,16 Nov 116.00 (AAPL1611W116-P),6.25,6.40,38,334.0,116.0
1333,16 Nov 116.00 (AAPL1611W116-X),6.25,6.40,3,334.0,116.0
1334,16 Nov 116.00 (AAPL1611W116-Y),6.25,6.40,2,334.0,116.0
1335,16 Nov 117.00 (AAPL1611W117),7.15,7.35,8,334.0,117.0
1345,16 Nov 117.00 (AAPL1611W117-O),7.15,7.35,6,334.0,117.0
1346,16 Nov 117.00 (AAPL1611W117-P),7.15,7.35,1,334.0,117.0
1348,16 Nov 117.00 (AAPL1611W117-X),7.15,7.35,1,334.0,117.0
1350,16 Nov 118.00 (AAPL1611W118),8.10,8.35,2,334.0,118.0
1356,16 Nov 118.00 (AAPL1611W118-E),8.05,8.40,2,334.0,118.0
1365,16 Nov 119.00 (AAPL1611W119),9.10,9.35,1,334.0,119.0
1375,16 Nov 119.00 (AAPL1611W119-O),9.10,9.35,1,,
1425,16 Nov 123.00 (AAPL1611W123),12.90,13.40,2,334.0,123.0
1428,16 Nov 123.00 (AAPL1611W123-8),11.85,14.75,1,,
1429,16 Nov 123.00 (AAPL1611W123-A),11.90,14.55,1,334.0,123.0
1710,16 Nov 80.00 (AAPL1618W80),0.0,0.01,235,334.0,80.0
1720,16 Nov 80.00 (AAPL1618W80-O),0.0,0.01,25,,
1721,16 Nov 80.00 (AAPL1618W80-P),0.0,0.03,125,334.0,80.0
1724,16 Nov 80.00 (AAPL1618W80-Y),0.0,0.01,85,,
1725,16 Nov 85.00 (AAPL1618W85),0.02,0.03,3027,,
1727,16 Nov 85.00 (AAPL1618W85-4),0.02,0.04,300,,
1729,16 Nov 85.00 (AAPL1618W85-A),0.02,0.04,1512,,
1732,16 Nov 85.00 (AAPL1618W85-I),0.02,0.03,853,,
1735,16 Nov 85.00 (AAPL1618W85-O),0.02,0.06,33,,
1736,16 Nov 85.00 (AAPL1618W85-P),0.02,0.03,31,,
1737,16 Nov 85.00 (AAPL1618W85-S),0.02,0.03,62,,
1739,16 Nov 85.00 (AAPL1618W85-Y),0.02,0.03,236,,
1740,16 Nov 90.00 (AAPL1618W90),0.06,0.07,437,334.0,90.0
1742,16 Nov 90.00 (AAPL1618W90-4),0.06,0.08,17,,
1746,16 Nov 90.00 (AAPL1618W90-E),0.06,0.08,79,334.0,90.0
1747,16 Nov 90.00 (AAPL1618W90-I),0.06,0.07,262,,
1752,16 Nov 90.00 (AAPL1618W90-S),0.06,0.13,20,,
1753,16 Nov 90.00 (AAPL1618W90-X),0.06,0.08,58,,
1754,16 Nov 90.00 (AAPL1618W90-Y),0.06,0.07,1,,
1755,16 Nov 92.50 (AAPL1618W92.5),0.09,0.11,3478,334.0,92.5
1756,16 Nov 92.50 (AAPL1618W92.5-3),0.09,0.11,196,,
1757,16 Nov 92.50 (AAPL1618W92.5-4),0.09,0.11,548,,
1758,16 Nov 92.50 (AAPL1618W92.5-8),0.09,0.11,203,334.0,92.5
1759,16 Nov 92.50 (AAPL1618W92.5-A),0.09,0.11,175,,
1760,16 Nov 92.50 (AAPL1618W92.5-B),0.09,0.14,24,,
1761,16 Nov 92.50 (AAPL1618W92.5-E),0.09,0.11,410,,
1762,16 Nov 92.50 (AAPL1618W92.5-I),0.09,0.11,558,,
1763,16 Nov 92.50 (AAPL1618W92.5-J),0.09,0.11,127,,
1764,16 Nov 92.50 (AAPL1618W92.5-K),0.09,0.11,31,,
1765,16 Nov 92.50 (AAPL1618W92.5-O),0.09,0.12,246,,
1766,16 Nov 92.50 (AAPL1618W92.5-P),0.09,0.13,154,,
1767,16 Nov 92.50 (AAPL1618W92.5-S),0.09,0.11,275,,
1768,16 Nov 92.50 (AAPL1618W92.5-X),0.09,0.11,375,,
1769,16 Nov 92.50 (AAPL1618W92.5-Y),0.09,0.11,156,,
1770,16 Nov 95.00 (AAPL1618W95),0.14,0.15,217,334.0,95.0
1773,16 Nov 95.00 (AAPL1618W95-8),0.13,0.17,2,,
1776,16 Nov 95.00 (AAPL1618W95-E),0.14,0.17,35,334.0,95.0
1777,16 Nov 95.00 (AAPL1618W95-I),0.14,0.15,42,,
1780,16 Nov 95.00 (AAPL1618W95-O),0.14,0.15,118,,
1781,16 Nov 95.00 (AAPL1618W95-P),0.14,0.15,6,334.0,95.0
1783,16 Nov 95.00 (AAPL1618W95-X),0.13,0.16,14,,
1785,16 Nov 96.00 (AAPL1618W96),0.16,0.17,497,,
1786,16 Nov 96.00 (AAPL1618W96-3),0.16,0.18,13,,
1788,16 Nov 96.00 (AAPL1618W96-8),0.16,0.19,21,,
1791,16 Nov 96.00 (AAPL1618W96-E),0.16,0.18,4,,
1792,16 Nov 96.00 (AAPL1618W96-I),0.16,0.17,302,,
1795,16 Nov 96.00 (AAPL1618W96-O),0.16,0.17,91,,
1797,16 Nov 96.00 (AAPL1618W96-S),0.16,0.17,36,,
1798,16 Nov 96.00 (AAPL1618W96-X),0.16,0.18,12,,
1799,16 Nov 96.00 (AAPL1618W96-Y),0.16,0.20,18,,
1800,16 Nov 97.00 (AAPL1618W97),0.19,0.20,203,,
1801,16 Nov 97.00 (AAPL1618W97-3),0.19,0.22,2,,
1803,16 Nov 97.00 (AAPL1618W97-8),0.19,0.21,1,,
1807,16 Nov 97.00 (AAPL1618W97-I),0.19,0.20,90,,
1812,16 Nov 97.00 (AAPL1618W97-S),0.19,0.21,26,,
1814,16 Nov 97.00 (AAPL1618W97-Y),0.19,0.23,84,,
1815,16 Nov 97.50 (AAPL1618W97.5),0.21,0.22,4624,334.0,97.5
1816,16 Nov 97.50 (AAPL1618W97.5-3),0.20,0.22,245,,
1817,16 Nov 97.50 (AAPL1618W97.5-4),0.21,0.23,552,,
1818,16 Nov 97.50 (AAPL1618W97.5-8),0.20,0.23,35,334.0,97.5
1819,16 Nov 97.50 (AAPL1618W97.5-A),0.20,0.23,577,,
1820,16 Nov 97.50 (AAPL1618W97.5-B),0.20,0.22,5,,
1821,16 Nov 97.50 (AAPL1618W97.5-E),0.20,0.23,1067,,
1822,16 Nov 97.50 (AAPL1618W97.5-I),0.21,0.22,390,,
1825,16 Nov 97.50 (AAPL1618W97.5-O),0.20,0.22,214,,
1826,16 Nov 97.50 (AAPL1618W97.5-P),0.18,0.22,2,334.0,97.5
1827,16 Nov 97.50 (AAPL1618W97.5-S),0.21,0.22,450,,
1828,16 Nov 97.50 (AAPL1618W97.5-X),0.21,0.23,763,,
1829,16 Nov 97.50 (AAPL1618W97.5-Y),0.21,0.22,324,,
1830,16 Nov 98.00 (AAPL1618W98),0.22,0.23,717,,
1833,16 Nov 98.00 (AAPL1618W98-8),0.22,0.25,22,,
1835,16 Nov 98.00 (AAPL1618W98-B),0.22,0.24,34,,
1836,16 Nov 98.00 (AAPL1618W98-E),0.22,0.24,60,,
1837,16 Nov 98.00 (AAPL1618W98-I),0.22,0.23,459,,
1840,16 Nov 98.00 (AAPL1618W98-O),0.21,0.24,2,,
1841,16 Nov 98.00 (AAPL1618W98-P),0.21,0.24,128,,
1844,16 Nov 98.00 (AAPL1618W98-Y),0.22,0.27,12,,
1845,16 Nov 99.00 (AAPL1618W99),0.26,0.27,121,,
1848,16 Nov 99.00 (AAPL1618W99-8),0.26,0.31,5,,
1852,16 Nov 99.00 (AAPL1618W99-I),0.26,0.27,93,,
1855,16 Nov 99.00 (AAPL1618W99-O),0.26,0.27,11,,
1859,16 Nov 99.00 (AAPL1618W99-Y),0.26,0.30,12,,
1860,16 Nov 100.00 (AAPL1618W100),0.31,0.33,1800,334.0,100.0
1861,16 Nov 100.00 (AAPL1618W100-3),0.31,0.33,57,,
1862,16 Nov 100.00 (AAPL1618W100-4),0.31,0.33,1,334.0,100.0
1863,16 Nov 100.00 (AAPL1618W100-8),0.31,0.36,5,334.0,100.0
1865,16 Nov 100.00 (AAPL1618W100-B),0.31,0.33,13,,
1866,16 Nov 100.00 (AAPL1618W100-E),0.31,0.33,186,334.0,100.0
1867,16 Nov 100.00 (AAPL1618W100-I),0.31,0.33,1166,334.0,100.0
1870,16 Nov 100.00 (AAPL1618W100-O),0.31,0.32,63,334.0,100.0
1871,16 Nov 100.00 (AAPL1618W100-P),0.31,0.33,17,334.0,100.0
1872,16 Nov 100.00 (AAPL1618W100-S),0.31,0.33,42,,
1873,16 Nov 100.00 (AAPL1618W100-X),0.31,0.33,39,334.0,100.0
1874,16 Nov 100.00 (AAPL1618W100-Y),0.31,0.35,211,,
1875,16 Nov 101.00 (AAPL1618W101),0.38,0.39,34,,
1877,16 Nov 101.00 (AAPL1618W101-4),0.37,0.40,10,,
1882,16 Nov 101.00 (AAPL1618W101-I),0.38,0.39,24,,
1890,16 Nov 102.00 (AAPL1618W102),0.45,0.46,455,334.0,102.0
1891,16 Nov 102.00 (AAPL1618W102-3),0.45,0.47,2,,
1892,16 Nov 102.00 (AAPL1618W102-4),0.45,0.47,3,,
1893,16 Nov 102.00 (AAPL1618W102-8),0.41,0.47,35,,
1894,16 Nov 102.00 (AAPL1618W102-A),0.44,0.47,7,,
1895,16 Nov 102.00 (AAPL1618W102-B),0.44,0.48,7,,
1896,16 Nov 102.00 (AAPL1618W102-E),0.45,0.47,207,,
1897,16 Nov 102.00 (AAPL1618W102-I),0.45,0.46,116,334.0,102.0
1898,16 Nov 102.00 (AAPL1618W102-J),0.44,0.61,1,,
1901,16 Nov 102.00 (AAPL1618W102-P),0.45,0.47,1,,
1902,16 Nov 102.00 (AAPL1618W102-S),0.45,0.46,38,,
1903,16 Nov 102.00 (AAPL1618W102-X),0.44,0.47,4,,
1904,16 Nov 102.00 (AAPL1618W102-Y),0.45,0.49,34,,
1905,16 Nov 103.00 (AAPL1618W103),0.55,0.56,445,334.0,103.0
1906,16 Nov 103.00 (AAPL1618W103-3),0.54,0.56,1,,
1907,16 Nov 103.00 (AAPL1618W103-4),0.54,0.57,9,,
1909,16 Nov 103.00 (AAPL1618W103-A),0.54,0.57,22,,
1910,16 Nov 103.00 (AAPL1618W103-B),0.54,0.57,36,,
1911,16 Nov 103.00 (AAPL1618W103-E),0.54,0.56,22,,
1912,16 Nov 103.00 (AAPL1618W103-I),0.55,0.56,128,334.0,103.0
1915,16 Nov 103.00 (AAPL1618W103-O),0.55,0.56,78,,
1916,16 Nov 103.00 (AAPL1618W103-P),0.54,0.56,18,,
1917,16 Nov 103.00 (AAPL1618W103-S),0.54,0.56,38,,
1918,16 Nov 103.00 (AAPL1618W103-X),0.54,0.58,20,334.0,103.0
1919,16 Nov 103.00 (AAPL1618W103-Y),0.54,0.56,73,,
1920,16 Nov 104.00 (AAPL1618W104),0.66,0.68,2254,334.0,104.0
1921,16 Nov 104.00 (AAPL1618W104-3),0.66,0.68,10,,
1922,16 Nov 104.00 (AAPL1618W104-4),0.63,0.68,5,,
1923,16 Nov 104.00 (AAPL1618W104-8),0.53,0.70,35,,
1924,16 Nov 104.00 (AAPL1618W104-A),0.66,0.69,45,,
1925,16 Nov 104.00 (AAPL1618W104-B),0.60,0.70,15,,
1926,16 Nov 104.00 (AAPL1618W104-E),0.66,0.68,42,,
1927,16 Nov 104.00 (AAPL1618W104-I),0.66,0.67,1086,334.0,104.0
1930,16 Nov 104.00 (AAPL1618W104-O),0.66,0.67,186,334.0,104.0
1931,16 Nov 104.00 (AAPL1618W104-P),0.66,0.68,106,,
1932,16 Nov 104.00 (AAPL1618W104-S),0.66,0.68,151,,
1933,16 Nov 104.00 (AAPL1618W104-X),0.66,0.70,27,,
1934,16 Nov 104.00 (AAPL1618W104-Y),0.66,0.67,546,,
1935,16 Nov 105.00 (AAPL1618W105),0.81,0.83,1364,334.0,105.0
1936,16 Nov 105.00 (AAPL1618W105-3),0.81,0.86,29,,
1937,16 Nov 105.00 (AAPL1618W105-4),0.81,0.85,54,334.0,105.0
1938,16 Nov 105.00 (AAPL1618W105-8),0.73,0.83,76,334.0,105.0
1939,16 Nov 105.00 (AAPL1618W105-A),0.81,0.83,72,334.0,105.0
1940,16 Nov 105.00 (AAPL1618W105-B),0.75,0.85,14,334.0,105.0
1941,16 Nov 105.00 (AAPL1618W105-E),0.81,0.83,247,334.0,105.0
1942,16 Nov 105.00 (AAPL1618W105-I),0.81,0.83,198,334.0,105.0
1943,16 Nov 105.00 (AAPL1618W105-J),0.79,0.83,17,,
1944,16 Nov 105.00 (AAPL1618W105-K),0.69,0.91,10,,
1945,16 Nov 105.00 (AAPL1618W105-O),0.82,0.83,104,334.0,105.0
1946,16 Nov 105.00 (AAPL1618W105-P),0.81,0.83,133,334.0,105.0
1947,16 Nov 105.00 (AAPL1618W105-S),0.81,0.83,60,,
1948,16 Nov 105.00 (AAPL1618W105-X),0.78,0.83,344,334.0,105.0
1949,16 Nov 105.00 (AAPL1618W105-Y),0.82,0.83,6,,
1950,16 Nov 106.00 (AAPL1618W106),1.00,1.02,570,334.0,106.0
1951,16 Nov 106.00 (AAPL1618W106-3),1.00,1.05,2,,
1952,16 Nov 106.00 (AAPL1618W106-4),1.00,1.02,42,,
1953,16 Nov 106.00 (AAPL1618W106-8),0.95,1.04,20,,
1954,16 Nov 106.00 (AAPL1618W106-A),1.00,1.03,13,,
1956,16 Nov 106.00 (AAPL1618W106-E),1.00,1.02,133,334.0,106.0
1957,16 Nov 106.00 (AAPL1618W106-I),1.00,1.02,190,334.0,106.0
1960,16 Nov 106.00 (AAPL1618W106-O),1.00,1.02,102,,
1961,16 Nov 106.00 (AAPL1618W106-P),1.00,1.02,43,,
1963,16 Nov 106.00 (AAPL1618W106-X),0.97,1.04,25,,
1965,16 Nov 107.00 (AAPL1618W107),1.24,1.25,1398,334.0,107.0
1966,16 Nov 107.00 (AAPL1618W107-3),1.23,1.26,7,,
1967,16 Nov 107.00 (AAPL1618W107-4),1.22,1.27,74,334.0,107.0
1968,16 Nov 107.00 (AAPL1618W107-8),1.24,1.25,30,,
1969,16 Nov 107.00 (AAPL1618W107-A),1.23,1.26,73,,
1970,16 Nov 107.00 (AAPL1618W107-B),1.15,1.26,8,,
1971,16 Nov 107.00 (AAPL1618W107-E),1.22,1.27,357,334.0,107.0
1972,16 Nov 107.00 (AAPL1618W107-I),1.24,1.25,383,334.0,107.0
1973,16 Nov 107.00 (AAPL1618W107-J),1.13,1.25,1,,
1975,16 Nov 107.00 (AAPL1618W107-O),1.24,1.26,198,334.0,107.0
1976,16 Nov 107.00 (AAPL1618W107-P),1.24,1.26,122,334.0,107.0
1977,16 Nov 107.00 (AAPL1618W107-S),1.21,1.25,46,334.0,107.0
1978,16 Nov 107.00 (AAPL1618W107-X),1.23,1.28,68,334.0,107.0
1979,16 Nov 107.00 (AAPL1618W107-Y),1.24,1.28,31,,
1980,16 Nov 108.00 (AAPL1618W108),1.53,1.54,3184,334.0,108.0
1981,16 Nov 108.00 (AAPL1618W108-3),1.52,1.58,21,,
1982,16 Nov 108.00 (AAPL1618W108-4),1.49,1.55,14,334.0,108.0
1983,16 Nov 108.00 (AAPL1618W108-8),1.49,1.57,534,,
1984,16 Nov 108.00 (AAPL1618W108-A),1.52,1.55,46,334.0,108.0
1985,16 Nov 108.00 (AAPL1618W108-B),1.43,1.55,29,334.0,108.0
1986,16 Nov 108.00 (AAPL1618W108-E),1.52,1.55,438,334.0,108.0
1987,16 Nov 108.00 (AAPL1618W108-I),1.53,1.54,676,334.0,108.0
1990,16 Nov 108.00 (AAPL1618W108-O),1.53,1.54,536,334.0,108.0
1991,16 Nov 108.00 (AAPL1618W108-P),1.53,1.55,311,,
1992,16 Nov 108.00 (AAPL1618W108-S),1.53,1.56,230,,
1993,16 Nov 108.00 (AAPL1618W108-X),1.51,1.56,93,334.0,108.0
1994,16 Nov 108.00 (AAPL1618W108-Y),1.53,1.57,256,,
1995,16 Nov 109.00 (AAPL1618W109),1.87,1.89,2246,334.0,109.0
1997,16 Nov 109.00 (AAPL1618W109-4),1.86,1.92,65,334.0,109.0
1998,16 Nov 109.00 (AAPL1618W109-8),1.84,1.92,321,334.0,109.0
1999,16 Nov 109.00 (AAPL1618W109-A),1.87,1.90,110,334.0,109.0
2000,16 Nov 109.00 (AAPL1618W109-B),1.86,1.92,71,334.0,109.0
2001,16 Nov 109.00 (AAPL1618W109-E),1.86,1.92,385,334.0,109.0
2002,16 Nov 109.00 (AAPL1618W109-I),1.87,1.89,451,334.0,109.0
2005,16 Nov 109.00 (AAPL1618W109-O),1.87,1.89,197,334.0,109.0
2006,16 Nov 109.00 (AAPL1618W109-P),1.87,1.90,393,334.0,109.0
2007,16 Nov 109.00 (AAPL1618W109-S),1.87,1.94,60,334.0,109.0
2008,16 Nov 109.00 (AAPL1618W109-X),1.84,1.92,140,334.0,109.0
2009,16 Nov 109.00 (AAPL1618W109-Y),1.87,1.93,53,,
2010,16 Nov 110.00 (AAPL1618W110),2.29,2.30,6819,334.0,110.0
2011,16 Nov 110.00 (AAPL1618W110-3),2.22,2.30,43,334.0,110.0
2012,16 Nov 110.00 (AAPL1618W110-4),2.25,2.33,605,334.0,110.0
2013,16 Nov 110.00 (AAPL1618W110-8),2.25,2.34,500,334.0,110.0
2014,16 Nov 110.00 (AAPL1618W110-A),2.29,2.35,1780,334.0,110.0
2015,16 Nov 110.00 (AAPL1618W110-B),2.28,2.34,21,334.0,110.0
2016,16 Nov 110.00 (AAPL1618W110-E),2.28,2.33,684,334.0,110.0
2017,16 Nov 110.00 (AAPL1618W110-I),2.29,2.31,928,334.0,110.0
2018,16 Nov 110.00 (AAPL1618W110-J),2.19,2.41,35,,
2020,16 Nov 110.00 (AAPL1618W110-O),2.29,2.31,790,334.0,110.0
2021,16 Nov 110.00 (AAPL1618W110-P),2.29,2.30,451,334.0,110.0
2022,16 Nov 110.00 (AAPL1618W110-S),2.29,2.34,168,334.0,110.0
2023,16 Nov 110.00 (AAPL1618W110-X),2.25,2.34,602,334.0,110.0
2024,16 Nov 110.00 (AAPL1618W110-Y),2.29,2.37,212,334.0,110.0
2025,16 Nov 111.00 (AAPL1618W111),2.78,2.80,598,334.0,111.0
2026,16 Nov 111.00 (AAPL1618W111-3),2.77,2.87,13,334.0,111.0
2027,16 Nov 111.00 (AAPL1618W111-4),2.77,2.84,2,334.0,111.0
2028,16 Nov 111.00 (AAPL1618W111-8),2.77,2.85,30,334.0,111.0
2029,16 Nov 111.00 (AAPL1618W111-A),2.78,2.81,3,334.0,111.0
2030,16 Nov 111.00 (AAPL1618W111-B),2.68,2.84,17,334.0,111.0
