,Calls,Bid,Ask,Vol,Expiration,Strike
1369,16 Nov 119.00 (AAPL1611K119-A),0.02,0.04,6,334,119.0
1372,16 Nov 119.00 (AAPL1611K119-I),0.02,0.03,12,334,119.0
1376,16 Nov 119.00 (AAPL1611K119-P),0.02,0.04,100,334,119.0
1378,16 Nov 119.00 (AAPL1611K119-X),0.02,0.04,23,334,119.0
1380,16 Nov 120.00 (AAPL1611K120),0.02,0.03,319,334,120.0
1381,16 Nov 120.00 (AAPL1611K120-3),0.01,0.03,4,334,120.0
1382,16 Nov 120.00 (AAPL1611K120-4),0.02,0.04,6,334,120.0
1383,16 Nov 120.00 (AAPL1611K120-8),0.0,0.10,4,334,120.0
1384,16 Nov 120.00 (AAPL1611K120-A),0.02,0.03,15,334,120.0
1386,16 Nov 120.00 (AAPL1611K120-E),0.01,0.04,97,334,120.0
1390,16 Nov 120.00 (AAPL1611K120-O),0.02,0.03,1,334,120.0
1391,16 Nov 120.00 (AAPL1611K120-P),0.01,0.03,29,334,120.0
1392,16 Nov 120.00 (AAPL1611K120-S),0.0,0.03,21,334,120.0
1393,16 Nov 120.00 (AAPL1611K120-X),0.01,0.04,92,334,120.0
1394,16 Nov 120.00 (AAPL1611K120-Y),0.0,0.03,50,334,120.0
1395,16 Nov 121.00 (AAPL1611K121),0.02,0.03,1,334,121.0
1401,16 Nov 121.00 (AAPL1611K121-E),0.0,0.04,1,334,121.0
1410,16 Nov 122.00 (AAPL1611K122),0.01,0.03,101,334,122.0
1416,16 Nov 122.00 (AAPL1611K122-E),0.0,0.04,1,334,122.0
1420,16 Nov 122.00 (AAPL1611K122-O),0.01,0.03,100,334,122.0
1425,16 Nov 123.00 (AAPL1611K123),0.01,0.03,294,334,123.0
1429,16 Nov 123.00 (AAPL1611K123-A),0.01,0.03,18,334,123.0
1431,16 Nov 123.00 (AAPL1611K123-E),0.0,0.04,144,334,123.0
1437,16 Nov 123.00 (AAPL1611K123-S),0.01,0.03,132,334,123.0
1440,16 Nov 124.00 (AAPL1611K124),0.01,0.02,140,334,124.0
1442,16 Nov 124.00 (AAPL1611K124-4),0.01,0.04,10,334,124.0
1446,16 Nov 124.00 (AAPL1611K124-E),0.0,0.04,30,334,124.0
1447,16 Nov 124.00 (AAPL1611K124-I),0.01,0.02,100,334,124.0
1455,16 Nov 125.00 (AAPL1611K125),0.01,0.02,114,334,125.0
1459,16 Nov 125.00 (AAPL1611K125-A),0.0,0.02,14,334,125.0
1465,16 Nov 125.00 (AAPL1611K125-O),0.01,0.02,100,334,125.0
1470,16 Nov 126.00 (AAPL1611K126),0.01,0.02,3,334,126.0
1477,16 Nov 126.00 (AAPL1611K126-I),0.01,0.02,3,334,126.0
1575,16 Nov 135.00 (AAPL1611K135),0.0,0.02,10,334,135.0
1581,16 Nov 135.00 (AAPL1611K135-E),0.0,0.04,10,334,135.0
1710,16 Nov 80.00 (AAPL1618K80),29.70,30.00,1,334,80.0
1721,16 Nov 80.00 (AAPL1618K80-P),29.70,30.00,1,334,80.0
1740,16 Nov 90.00 (AAPL1618K90),19.80,20.00,2,334,90.0
1746,16 Nov 90.00 (AAPL1618K90-E),19.80,20.00,2,334,90.0
1755,16 Nov 92.50 (AAPL1618K92.5),17.30,17.55,13,334,92.5
1758,16 Nov 92.50 (AAPL1618K92.5-8),17.30,17.55,13,334,92.5
1770,16 Nov 95.00 (AAPL1618K95),14.85,15.10,38,334,95.0
1776,16 Nov 95.00 (AAPL1618K95-E),14.85,15.10,35,334,95.0
1781,16 Nov 95.00 (AAPL1618K95-P),14.85,15.10,3,334,95.0
1815,16 Nov 97.50 (AAPL1618K97.5),12.40,12.65,54,334,97.5
1818,16 Nov 97.50 (AAPL1618K97.5-8),12.40,12.65,24,334,97.5
1826,16 Nov 97.50 (AAPL1618K97.5-P),12.40,12.65,30,334,97.5
1860,16 Nov 100.00 (AAPL1618K100),10.05,10.25,111,334,100.0
1862,16 Nov 100.00 (AAPL1618K100-4),10.05,10.25,28,334,100.0
1863,16 Nov 100.00 (AAPL1618K100-8),10.05,10.25,1,334,100.0
1866,16 Nov 100.00 (AAPL1618K100-E),10.05,10.25,18,334,100.0
1867,16 Nov 100.00 (AAPL1618K100-I),10.05,10.25,32,334,100.0
1870,16 Nov 100.00 (AAPL1618K100-O),10.05,10.25,2,334,100.0
1871,16 Nov 100.00 (AAPL1618K100-P),10.05,10.25,20,334,100.0
1873,16 Nov 100.00 (AAPL1618K100-X),10.05,10.25,10,334,100.0
1890,16 Nov 102.00 (AAPL1618K102),8.20,8.35,22,334,102.0
1897,16 Nov 102.00 (AAPL1618K102-I),8.20,8.35,22,334,102.0
1905,16 Nov 103.00 (AAPL1618K103),7.30,7.45,21,334,103.0
1912,16 Nov 103.00 (AAPL1618K103-I),7.30,7.45,14,334,103.0
1918,16 Nov 103.00 (AAPL1618K103-X),7.30,7.45,7,334,103.0
1920,16 Nov 104.00 (AAPL1618K104),6.45,6.55,21,334,104.0
1927,16 Nov 104.00 (AAPL1618K104-I),6.45,6.55,17,334,104.0
1930,16 Nov 104.00 (AAPL1618K104-O),6.45,6.55,4,334,104.0
1935,16 Nov 105.00 (AAPL1618K105),5.60,5.70,356,334,105.0
1937,16 Nov 105.00 (AAPL1618K105-4),5.60,5.70,15,334,105.0
1938,16 Nov 105.00 (AAPL1618K105-8),5.55,5.70,10,334,105.0
1939,16 Nov 105.00 (AAPL1618K105-A),5.60,5.70,50,334,105.0
1940,16 Nov 105.00 (AAPL1618K105-B),5.55,5.70,30,334,105.0
1941,16 Nov 105.00 (AAPL1618K105-E),5.60,5.70,41,334,105.0
1942,16 Nov 105.00 (AAPL1618K105-I),5.60,5.70,112,334,105.0
1945,16 Nov 105.00 (AAPL1618K105-O),5.60,5.70,14,334,105.0
1946,16 Nov 105.00 (AAPL1618K105-P),5.55,5.70,70,334,105.0
1948,16 Nov 105.00 (AAPL1618K105-X),5.60,5.70,14,334,105.0
1950,16 Nov 106.00 (AAPL1618K106),4.80,4.85,37,334,106.0
1956,16 Nov 106.00 (AAPL1618K106-E),4.75,4.85,15,334,106.0
1957,16 Nov 106.00 (AAPL1618K106-I),4.80,4.85,22,334,106.0
1965,16 Nov 107.00 (AAPL1618K107),4.00,4.10,87,334,107.0
1967,16 Nov 107.00 (AAPL1618K107-4),4.00,4.10,10,334,107.0
1971,16 Nov 107.00 (AAPL1618K107-E),4.00,4.10,19,334,107.0
1972,16 Nov 107.00 (AAPL1618K107-I),4.00,4.10,10,334,107.0
1975,16 Nov 107.00 (AAPL1618K107-O),4.00,4.10,10,334,107.0
1976,16 Nov 107.00 (AAPL1618K107-P),4.00,4.10,6,334,107.0
1977,16 Nov 107.00 (AAPL1618K107-S),4.00,4.10,26,334,107.0
1978,16 Nov 107.00 (AAPL1618K107-X),4.00,4.10,6,334,107.0
1980,16 Nov 108.00 (AAPL1618K108),3.30,3.35,404,334,108.0
1982,16 Nov 108.00 (AAPL1618K108-4),3.30,3.35,34,334,108.0
1984,16 Nov 108.00 (AAPL1618K108-A),3.30,3.35,38,334,108.0
1985,16 Nov 108.00 (AAPL1618K108-B),3.30,3.35,22,334,108.0
1986,16 Nov 108.00 (AAPL1618K108-E),3.30,3.35,69,334,108.0
1987,16 Nov 108.00 (AAPL1618K108-I),3.30,3.35,69,334,108.0
1988,16 Nov 108.00 (AAPL1618K108-J),3.30,3.35,20,334,108.0
1990,16 Nov 108.00 (AAPL1618K108-O),3.30,3.35,80,334,108.0
1993,16 Nov 108.00 (AAPL1618K108-X),3.30,3.35,72,334,108.0
1995,16 Nov 109.00 (AAPL1618K109),2.68,2.69,2055,334,109.0
1996,16 Nov 109.00 (AAPL1618K109-3),2.67,2.70,17,334,109.0
1997,16 Nov 109.00 (AAPL1618K109-4),2.67,2.70,17,334,109.0
1998,16 Nov 109.00 (AAPL1618K109-8),2.65,2.73,32,334,109.0
1999,16 Nov 109.00 (AAPL1618K109-A),2.66,2.70,1009,334,109.0
2000,16 Nov 109.00 (AAPL1618K109-B),2.57,2.73,17,334,109.0
2001,16 Nov 109.00 (AAPL1618K109-E),2.67,2.70,246,334,109.0
2002,16 Nov 109.00 (AAPL1618K109-I),2.68,2.69,330,334,109.0
2005,16 Nov 109.00 (AAPL1618K109-O),2.67,2.69,36,334,109.0
2006,16 Nov 109.00 (AAPL1618K109-P),2.66,2.69,60,334,109.0
2007,16 Nov 109.00 (AAPL1618K109-S),2.62,2.73,6,334,109.0
2008,16 Nov 109.00 (AAPL1618K109-X),2.65,2.71,285,334,109.0
2010,16 Nov 110.00 (AAPL1618K110),2.09,2.11,5947,334,110.0
2011,16 Nov 110.00 (AAPL1618K110-3),2.09,2.11,13,334,110.0
2012,16 Nov 110.00 (AAPL1618K110-4),2.07,2.11,279,334,110.0
2013,16 Nov 110.00 (AAPL1618K110-8),2.07,2.11,133,334,110.0
2014,16 Nov 110.00 (AAPL1618K110-A),2.09,2.11,222,334,110.0
2015,16 Nov 110.00 (AAPL1618K110-B),1.99,2.16,86,334,110.0
2016,16 Nov 110.00 (AAPL1618K110-E),2.09,2.11,657,334,110.0
2017,16 Nov 110.00 (AAPL1618K110-I),2.09,2.11,2578,334,110.0
2019,16 Nov 110.00 (AAPL1618K110-K),1.78,2.34,4,334,110.0
2020,16 Nov 110.00 (AAPL1618K110-O),2.09,2.11,739,334,110.0
2021,16 Nov 110.00 (AAPL1618K110-P),2.09,2.11,425,334,110.0
2022,16 Nov 110.00 (AAPL1618K110-S),2.09,2.11,100,334,110.0
2023,16 Nov 110.00 (AAPL1618K110-X),2.08,2.11,455,334,110.0
2024,16 Nov 110.00 (AAPL1618K110-Y),2.02,2.11,256,334,110.0
2025,16 Nov 111.00 (AAPL1618K111),1.58,1.59,3030,334,111.0
2026,16 Nov 111.00 (AAPL1618K111-3),1.58,1.65,57,334,111.0
2027,16 Nov 111.00 (AAPL1618K111-4),1.57,1.63,155,334,111.0
2028,16 Nov 111.00 (AAPL1618K111-8),1.55,1.62,44,334,111.0
2029,16 Nov 111.00 (AAPL1618K111-A),1.57,1.61,88,334,111.0
2030,16 Nov 111.00 (AAPL1618K111-B),1.55,1.66,32,334,111.0
2031,16 Nov 111.00 (AAPL1618K111-E),1.57,1.63,37,334,111.0
2032,16 Nov 111.00 (AAPL1618K111-I),1.58,1.59,1151,334,111.0
2033,16 Nov 111.00 (AAPL1618K111-J),1.49,1.71,27,334,111.0
2035,16 Nov 111.00 (AAPL1618K111-O),1.58,1.59,593,334,111.0
2036,16 Nov 111.00 (AAPL1618K111-P),1.58,1.60,446,334,111.0
2037,16 Nov 111.00 (AAPL1618K111-S),1.58,1.62,224,334,111.0
2038,16 Nov 111.00 (AAPL1618K111-X),1.57,1.63,63,334,111.0
2039,16 Nov 111.00 (AAPL1618K111-Y),1.58,1.60,113,334,111.0
2040,16 Nov 112.00 (AAPL1618K112),1.16,1.17,14978,334,112.0
2041,16 Nov 112.00 (AAPL1618K112-3),1.15,1.21,18,334,112.0
2042,16 Nov 112.00 (AAPL1618K112-4),1.16,1.19,518,334,112.0
2043,16 Nov 112.00 (AAPL1618K112-8),1.14,1.19,172,334,112.0
2044,16 Nov 112.00 (AAPL1618K112-A),1.15,1.18,108,334,112.0
2045,16 Nov 112.00 (AAPL1618K112-B),1.12,1.22,40,334,112.0
2046,16 Nov 112.00 (AAPL1618K112-E),1.13,1.19,758,334,112.0
2047,16 Nov 112.00 (AAPL1618K112-I),1.16,1.17,2078,334,112.0
2048,16 Nov 112.00 (AAPL1618K112-J),1.16,1.28,20,334,112.0
2050,16 Nov 112.00 (AAPL1618K112-O),1.16,1.17,1154,334,112.0
2051,16 Nov 112.00 (AAPL1618K112-P),1.15,1.17,9000,334,112.0
2052,16 Nov 112.00 (AAPL1618K112-S),1.14,1.17,317,334,112.0
2053,16 Nov 112.00 (AAPL1618K112-X),1.14,1.19,336,334,112.0
2054,16 Nov 112.00 (AAPL1618K112-Y),1.11,1.17,459,334,112.0
2055,16 Nov 113.00 (AAPL1618K113),0.81,0.82,1351,334,113.0
2056,16 Nov 113.00 (AAPL1618K113-3),0.81,0.84,7,334,113.0
2057,16 Nov 113.00 (AAPL1618K113-4),0.81,0.85,24,334,113.0
2058,16 Nov 113.00 (AAPL1618K113-8),0.80,0.85,34,334,113.0
2059,16 Nov 113.00 (AAPL1618K113-A),0.80,0.82,84,334,113.0
2060,16 Nov 113.00 (AAPL1618K113-B),0.80,0.89,53,334,113.0
2061,16 Nov 113.00 (AAPL1618K113-E),0.81,0.85,144,334,113.0
2062,16 Nov 113.00 (AAPL1618K113-I),0.81,0.82,662,334,113.0
2065,16 Nov 113.00 (AAPL1618K113-O),0.81,0.82,243,334,113.0
2066,16 Nov 113.00 (AAPL1618K113-P),0.81,0.82,29,334,113.0
2067,16 Nov 113.00 (AAPL1618K113-S),0.80,0.84,6,334,113.0
2068,16 Nov 113.00 (AAPL1618K113-X),0.80,0.85,59,334,113.0
2069,16 Nov 113.00 (AAPL1618K113-Y),0.81,0.82,6,334,113.0
2070,16 Nov 114.00 (AAPL1618K114),0.55,0.56,1936,334,114.0
2071,16 Nov 114.00 (AAPL1618K114-3),0.53,0.56,5,334,114.0
2072,16 Nov 114.00 (AAPL1618K114-4),0.54,0.58,27,334,114.0
2073,16 Nov 114.00 (AAPL1618K114-8),0.53,0.58,176,334,114.0
2074,16 Nov 114.00 (AAPL1618K114-A),0.54,0.57,26,334,114.0
2075,16 Nov 114.00 (AAPL1618K114-B),0.54,0.60,57,334,114.0
2076,16 Nov 114.00 (AAPL1618K114-E),0.54,0.58,231,334,114.0
2077,16 Nov 114.00 (AAPL1618K114-I),0.55,0.56,558,334,114.0
2080,16 Nov 114.00 (AAPL1618K114-O),0.55,0.56,587,334,114.0
2081,16 Nov 114.00 (AAPL1618K114-P),0.54,0.56,36,334,114.0
2082,16 Nov 114.00 (AAPL1618K114-S),0.54,0.58,36,334,114.0
2083,16 Nov 114.00 (AAPL1618K114-X),0.54,0.58,196,334,114.0
2084,16 Nov 114.00 (AAPL1618K114-Y),0.55,0.61,1,334,114.0
2085,16 Nov 115.00 (AAPL1618K115),0.36,0.38,3472,334,115.0
2086,16 Nov 115.00 (AAPL1618K115-3),0.35,0.38,9,334,115.0
2087,16 Nov 115.00 (AAPL1618K115-4),0.35,0.38,106,334,115.0
2088,16 Nov 115.00 (AAPL1618K115-8),0.35,0.38,243,334,115.0
2089,16 Nov 115.00 (AAPL1618K115-A),0.35,0.38,100,334,115.0
2090,16 Nov 115.00 (AAPL1618K115-B),0.35,0.44,92,334,115.0
2091,16 Nov 115.00 (AAPL1618K115-E),0.35,0.38,358,334,115.0
2092,16 Nov 115.00 (AAPL1618K115-I),0.35,0.38,1544,334,115.0
2093,16 Nov 115.00 (AAPL1618K115-J),0.35,0.38,3,334,115.0
2095,16 Nov 115.00 (AAPL1618K115-O),0.36,0.38,547,334,115.0
2096,16 Nov 115.00 (AAPL1618K115-P),0.35,0.38,52,334,115.0
2097,16 Nov 115.00 (AAPL1618K115-S),0.35,0.38,42,334,115.0
2098,16 Nov 115.00 (AAPL1618K115-X),0.35,0.38,73,334,115.0
2099,16 Nov 115.00 (AAPL1618K115-Y),0.35,0.38,303,334,115.0
2100,16 Nov 116.00 (AAPL1618K116),0.22,0.24,1352,334,116.0
2101,16 Nov 116.00 (AAPL1618K116-3),0.22,0.24,2,334,116.0
2102,16 Nov 116.00 (AAPL1618K116-4),0.22,0.24,74,334,116.0
2103,16 Nov 116.00 (AAPL1618K116-8),0.19,0.24,51,334,116.0
2104,16 Nov 116.00 (AAPL1618K116-A),0.22,0.24,13,334,116.0
2105,16 Nov 116.00 (AAPL1618K116-B),0.22,0.31,32,334,116.0
2106,16 Nov 116.00 (AAPL1618K116-E),0.22,0.24,130,334,116.0
2107,16 Nov 116.00 (AAPL1618K116-I),0.23,0.24,184,334,116.0
2108,16 Nov 116.00 (AAPL1618K116-J),0.22,0.24,313,334,116.0
2110,16 Nov 116.00 (AAPL1618K116-O),0.23,0.24,128,334,116.0
2111,16 Nov 116.00 (AAPL1618K116-P),0.22,0.26,246,334,116.0
2112,16 Nov 116.00 (AAPL1618K116-S),0.22,0.24,36,334,116.0
2113,16 Nov 116.00 (AAPL1618K116-X),0.22,0.24,122,334,116.0
2114,16 Nov 116.00 (AAPL1618K116-Y),0.22,0.24,21,334,116.0
2115,16 Nov 117.00 (AAPL1618K117),0.14,0.15,1193,334,117.0
2116,16 Nov 117.00 (AAPL1618K117-3),0.14,0.16,2,334,117.0
2117,16 Nov 117.00 (AAPL1618K117-4),0.14,0.16,24,334,117.0
2118,16 Nov 117.00 (AAPL1618K117-8),0.11,0.18,561,334,117.0
2120,16 Nov 117.00 (AAPL1618K117-B),0.14,0.21,10,334,117.0
2121,16 Nov 117.00 (AAPL1618K117-E),0.14,0.16,502,334,117.0
2122,16 Nov 117.00 (AAPL1618K117-I),0.14,0.15,26,334,117.0
2125,16 Nov 117.00 (AAPL1618K117-O),0.14,0.15,44,334,117.0
2126,16 Nov 117.00 (AAPL1618K117-P),0.14,0.16,12,334,117.0
2128,16 Nov 117.00 (AAPL1618K117-X),0.14,0.16,12,334,117.0
2130,16 Nov 118.00 (AAPL1618K118),0.09,0.10,2005,334,118.0
2131,16 Nov 118.00 (AAPL1618K118-3),0.09,0.12,8,334,118.0
2132,16 Nov 118.00 (AAPL1618K118-4),0.08,0.11,17,334,118.0
2133,16 Nov 118.00 (AAPL1618K118-8),0.08,0.16,400,334,118.0
2134,16 Nov 118.00 (AAPL1618K118-A),0.08,0.11,321,334,118.0
2136,16 Nov 118.00 (AAPL1618K118-E),0.09,0.11,162,334,118.0
2137,16 Nov 118.00 (AAPL1618K118-I),0.09,0.10,727,334,118.0
2138,16 Nov 118.00 (AAPL1618K118-J),0.08,0.11,26,334,118.0
2140,16 Nov 118.00 (AAPL1618K118-O),0.09,0.10,100,334,118.0
2141,16 Nov 118.00 (AAPL1618K118-P),0.09,0.13,10,334,118.0
2142,16 Nov 118.00 (AAPL1618K118-S),0.09,0.10,10,334,118.0
2143,16 Nov 118.00 (AAPL1618K118-X),0.08,0.11,73,334,118.0
2144,16 Nov 118.00 (AAPL1618K118-Y),0.09,0.10,151,334,118.0
2145,16 Nov 119.00 (AAPL1618K119),0.06,0.07,94,334,119.0
2148,16 Nov 119.00 (AAPL1618K119-8),0.04,0.07,3,334,119.0
2151,16 Nov 119.00 (AAPL1618K119-E),0.05,0.07,75,334,119.0
2152,16 Nov 119.00 (AAPL1618K119-I),0.06,0.07,7,334,119.0
2155,16 Nov 119.00 (AAPL1618K119-O),0.06,0.07,1,334,119.0
2157,16 Nov 119.00 (AAPL1618K119-S),0.05,0.07,3,334,119.0
2158,16 Nov 119.00 (AAPL1618K119-X),0.05,0.08,5,334,119.0
2160,16 Nov 120.00 (AAPL1618K120),0.04,0.05,722,334,120.0
2161,16 Nov 120.00 (AAPL1618K120-3),0.03,0.16,1,334,120.0
2162,16 Nov 120.00 (AAPL1618K120-4),0.03,0.07,182,334,120.0
2163,16 Nov 120.00 (AAPL1618K120-8),0.03,0.08,57,334,120.0
2164,16 Nov 120.00 (AAPL1618K120-A),0.03,0.07,31,334,120.0
2165,16 Nov 120.00 (AAPL1618K120-B),0.03,0.09,7,334,120.0
2166,16 Nov 120.00 (AAPL1618K120-E),0.03,0.07,123,334,120.0
2167,16 Nov 120.00 (AAPL1618K120-I),0.04,0.05,98,334,120.0
2168,16 Nov 120.00 (AAPL1618K120-J),0.03,0.15,1,334,120.0
2169,16 Nov 120.00 (AAPL1618K120-K),0.0,2.17,2,334,120.0
2170,16 Nov 120.00 (AAPL1618K120-O),0.03,0.07,113,334,120.0
2171,16 Nov 120.00 (AAPL1618K120-P),0.04,0.07,53,334,120.0
2172,16 Nov 120.00 (AAPL1618K120-S),0.03,0.05,13,334,120.0
2173,16 Nov 120.00 (AAPL1618K120-X),0.03,0.07,28,334,120.0
2174,16 Nov 120.00 (AAPL1618K120-Y),0.04,0.05,13,334,120.0
2175,16 Nov 121.00 (AAPL1618K121),0.02,0.05,18,334,121.0
2178,16 Nov 121.00 (AAPL1618K121-8),0.02,0.05,6,334,121.0
2181,16 Nov 121.00 (AAPL1618K121-E),0.02,0.05,12,334,121.0
2190,16 Nov 122.00 (AAPL1618K122),0.02,0.05,110,334,122.0
2193,16 Nov 122.00 (AAPL1618K122-8),0.01,0.05,100,334,122.0
2195,16 Nov 122.00 (AAPL1618K122-B),0.01,0.06,10,334,122.0
2205,16 Nov 123.00 (AAPL1618K123),0.01,0.04,24,334,123.0
2215,16 Nov 123.00 (AAPL1618K123-O),0.01,0.04,3,334,123.0
2216,16 Nov 123.00 (AAPL1618K123-P),0.01,0.04,10,334,123.0
2218,16 Nov 123.00 (AAPL1618K123-X),0.01,0.04,11,334,123.0
2220,16 Nov 124.00 (AAPL1618K124),0.01,0.03,25,334,124.0
2223,16 Nov 124.00 (AAPL1618K124-8),0.0,0.04,16,334,124.0
2226,16 Nov 124.00 (AAPL1618K124-E),0.0,0.04,9,334,124.0
2235,16 Nov 125.00 (AAPL1618K125),0.01,0.02,293,334,125.0
2239,16 Nov 125.00 (AAPL1618K125-A),0.01,0.04,215,334,125.0
2240,16 Nov 125.00 (AAPL1618K125-B),0.0,0.04,1,334,125.0
2241,16 Nov 125.00 (AAPL1618K125-E),0.01,0.04,19,334,125.0
2245,16 Nov 125.00 (AAPL1618K125-O),0.01,0.02,12,334,125.0
2246,16 Nov 125.00 (AAPL1618K125-P),0.01,0.02,21,334,125.0
2247,16 Nov 125.00 (AAPL1618K125-S),0.01,0.02,1,334,125.0
2248,16 Nov 125.00 (AAPL1618K125-X),0.0,0.04,23,334,125.0
2249,16 Nov 125.00 (AAPL1618K125-Y),0.01,0.02,1,334,125.0
2295,16 Nov 129.00 (AAPL1618K129),0.0,0.03,2,334,129.0
2301,16 Nov 129.00 (AAPL1618K129-E),0.0,0.03,2,334,129.0
2310,16 Nov 130.00 (AAPL1618K130),0.0,0.01,1602,334,130.0
2311,16 Nov 130.00 (AAPL1618K130-3),0.0,0.10,150,334,130.0
2312,16 Nov 130.00 (AAPL1618K130-4),0.0,0.03,311,334,130.0
2313,16 Nov 130.00 (AAPL1618K130-8),0.0,0.03,1,334,130.0
2314,16 Nov 130.00 (AAPL1618K130-A),0.0,0.03,81,334,130.0
2316,16 Nov 130.00 (AAPL1618K130-E),0.0,0.03,737,334,130.0
2320,16 Nov 130.00 (AAPL1618K130-O),0.0,0.01,200,334,130.0
2321,16 Nov 130.00 (AAPL1618K130-P),0.0,0.03,20,334,130.0
2322,16 Nov 130.00 (AAPL1618K130-S),0.0,0.09,25,334,130.0
2323,16 Nov 130.00 (AAPL1618K130-X),0.0,0.03,76,334,130.0
2324,16 Nov 130.00 (AAPL1618K130-Y),0.0,0.02,1,334,130.0
2325,16 Nov 131.00 (AAPL1618K131),0.0,0.02,1,334,131.0
2331,16 Nov 131.00 (AAPL1618K131-E),0.0,0.03,1,334,131.0
2340,16 Nov 135.00 (AAPL1618K135),0.0,0.01,2,334,135.0
2353,16 Nov 135.00 (AAPL1618K135-X),0.0,0.03,2,334,135.0
2610,16 Nov 95.00 (AAPL1625K95),14.85,15.10,5,334,95.0
2616,16 Nov 95.00 (AAPL1625K95-E),14.80,15.15,5,334,95.0
2685,16 Nov 103.00 (AAPL1625K103),7.35,7.75,5,334,103.0
2688,16 Nov 103.00 (AAPL1625K103-8),7.20,7.75,3,334,103.0
2691,16 Nov 103.00 (AAPL1625K103-E),7.30,7.75,2,334,103.0
2730,16 Nov 106.00 (AAPL1625K106),4.90,5.10,10,334,106.0
2732,16 Nov 106.00 (AAPL1625K106-4),4.90,5.10,2,334,106.0
2733,16 Nov 106.00 (AAPL1625K106-8),4.90,5.10,3,334,106.0
2736,16 Nov 106.00 (AAPL1625K106-E),4.95,5.10,5,334,106.0
2745,16 Nov 107.00 (AAPL1625K107),4.15,4.30,2,334,107.0
2749,16 Nov 107.00 (AAPL1625K107-A),4.15,4.30,2,334,107.0
2760,16 Nov 108.00 (AAPL1625K108),3.50,3.60,34,334,108.0
2763,16 Nov 108.00 (AAPL1625K108-8),3.50,3.60,30,334,108.0
2764,16 Nov 108.00 (AAPL1625K108-A),3.50,3.60,2,334,108.0
2767,16 Nov 108.00 (AAPL1625K108-I),3.50,3.60,2,334,108.0
2775,16 Nov 109.00 (AAPL1625K109),2.88,2.96,42,334,109.0
2778,16 Nov 109.00 (AAPL1625K109-8),2.86,2.96,20,334,109.0
2781,16 Nov 109.00 (AAPL1625K109-E),2.88,2.96,1,334,109.0
2786,16 Nov 109.00 (AAPL1625K109-P),2.87,2.96,1,334,109.0
2788,16 Nov 109.00 (AAPL1625K109-X),2.86,2.96,20,334,109.0
2790,16 Nov 110.00 (AAPL1625K110),2.31,2.36,109,334,110.0
2792,16 Nov 110.00 (AAPL1625K110-4),2.29,2.36,15,334,110.0
2793,16 Nov 110.00 (AAPL1625K110-8),2.30,2.36,13,334,110.0
2795,16 Nov 110.00 (AAPL1625K110-B),2.30,2.36,5,334,110.0
2796,16 Nov 110.00 (AAPL1625K110-E),2.31,2.36,27,334,110.0
2797,16 Nov 110.00 (AAPL1625K110-I),2.31,2.36,12,334,110.0
2800,16 Nov 110.00 (AAPL1625K110-O),2.31,2.36,1,334,110.0
2801,16 Nov 110.00 (AAPL1625K110-P),2.30,2.36,5,334,110.0
2803,16 Nov 110.00 (AAPL1625K110-X),2.29,2.36,31,334,110.0
2805,16 Nov 111.00 (AAPL1625K111),1.80,1.85,112,334,111.0
2807,16 Nov 111.00 (AAPL1625K111-4),1.80,1.85,3,334,111.0
2808,16 Nov 111.00 (AAPL1625K111-8),1.80,1.85,33,334,111.0
2809,16 Nov 111.00 (AAPL1625K111-A),1.80,1.85,1,334,111.0
2811,16 Nov 111.00 (AAPL1625K111-E),1.80,1.85,11,334,111.0
2812,16 Nov 111.00 (AAPL1625K111-I),1.80,1.85,14,334,111.0
2816,16 Nov 111.00 (AAPL1625K111-P),1.80,1.85,50,334,111.0
2820,16 Nov 112.00 (AAPL1625K112),1.37,1.41,409,334,112.0
2822,16 Nov 112.00 (AAPL1625K112-4),1.37,1.42,115,334,112.0
2823,16 Nov 112.00 (AAPL1625K112-8),1.37,1.42,1,334,112.0
2824,16 Nov 112.00 (AAPL1625K112-A),1.37,1.41,8,334,112.0
2825,16 Nov 112.00 (AAPL1625K112-B),1.35,1.42,1,334,112.0
2826,16 Nov 112.00 (AAPL1625K112-E),1.37,1.42,172,334,112.0
2827,16 Nov 112.00 (AAPL1625K112-I),1.37,1.41,11,334,112.0
2829,16 Nov 112.00 (AAPL1625K112-K),1.37,1.42,63,334,112.0
2830,16 Nov 112.00 (AAPL1625K112-O),1.37,1.41,14,334,112.0
2831,16 Nov 112.00 (AAPL1625K112-P),1.37,1.41,22,334,112.0
2833,16 Nov 112.00 (AAPL1625K112-X),1.37,1.42,2,334,112.0
2835,16 Nov 113.00 (AAPL1625K113),1.02,1.06,355,334,113.0
2837,16 Nov 113.00 (AAPL1625K113-4),1.01,1.06,1,334,113.0
2838,16 Nov 113.00 (AAPL1625K113-8),1.02,1.06,13,334,113.0
2840,16 Nov 113.00 (AAPL1625K113-B),1.00,1.06,1,334,113.0
2841,16 Nov 113.00 (AAPL1625K113-E),1.02,1.06,6,334,113.0
2842,16 Nov 113.00 (AAPL1625K113-I),1.02,1.06,80,334,113.0
2846,16 Nov 113.00 (AAPL1625K113-P),1.01,1.06,220,334,113.0
2848,16 Nov 113.00 (AAPL1625K113-X),1.02,1.06,34,334,113.0
2850,16 Nov 114.00 (AAPL1625K114),0.73,0.78,33,334,114.0
2853,16 Nov 114.00 (AAPL1625K114-8),0.73,0.78,9,334,114.0
